Target UE Iperf3 Measured Throughput 1 (Kbps),Non-Target UE Iperf3 Measured Throughput 1 (Kbps),FB-AII Estimated Throughput 1 (Mbps),Tset 1 (Mbps),jammer_gain 1,Inteference Efficiency,Target UE Iperf3 Measured Throughput 2,Non-Target UE Iperf3 Measured Throughput 2,FB-AII Estimated Throughput 2,Tset 2,jammer_gain 2,Inteference Efficiency,Target UE Iperf3 Measured Throughput 3,Non-Target UE Iperf3 Measured Throughput 3,FB-AII Estimated Throughput 3,Tset 3,jammer_gain 3,Inteference Efficiency,Target UE Iperf3 Measured Throughput 1 (Kbps),Non-Target UE Iperf3 Measured Throughput 1 (Kbps),FB-AII Estimated Throughput 1 (Mbps),Tset 1 (Mbps),jammer_gain 1,Inteference Efficiency,Target UE Iperf3 Measured Throughput 2,Non-Target UE Iperf3 Measured Throughput 2,FB-AII Estimated Throughput 2,Tset 2,jammer_gain 2,Inteference Efficiency,Target UE Iperf3 Measured Throughput 3,Non-Target UE Iperf3 Measured Throughput 3,FB-AII Estimated Throughput 3,Tset 3,jammer_gain 3,Inteference Efficiency
,,,,,,339,505,,,,,170,512,,,,,505,502,,,,,471,511,,,,,512,504,,,,
,,,,,,352,494,,,,,166,497,,,,,505,487,,,,,464,493,,,,,505,493,,,,
,,,,,,334,506,,,,,176,502,,,,,497,513,,,,,479,507,,,,,484,497,,,,
,,,,,,352,502,,,,,176,494,,,,,503,496,,,,,417,492,,,,,517,509,,,,
,,,,,,339,497,,,,,171,505,,,,,500,504,,,,,441,497,,,,,493,490,,,,
,,,,,,297,477,,,,,175,501,,,,,498,500,,,,,438,511,,,,,505,512,,,,
,,,,,,295,525,,,,,168,501,,,,,497,497,,,,,423,499,,,,,502,498,,,,
,,,,,,311,491,,,,,151,488,,,,,507,505,,,,,414,501,,,,,491,499,,,,
,,,,,,279,501,,,,,158,511,,,,,501,501,,,,,460,500,,,,,505,499,,,,
,,,,,,278,509,,,,,144,496,,,,,497,495,,,,,462,500,,,,,483,502,,,,
,,,,,,257,497,,,,,164,504,,,,,501,503,,,,,464,499,,,,,512,497,,,,
,,,,,,310,500,,,,,153,494,,,,,500,499,,,,,495,500,,,,,494,503,,,,
,,,,,,287,496,,,,,150,506,,,,,501,498,,,,,473,499,,,,,509,499,,,,
,,,,,,300,505,,,,,155,497,,,,,500,493,,,,,487,500,,,,,500,503,,,,
,,,,,,286,500,,,,,154,504,,,,,499,506,,,,,446,499,,,,,504,494,,,,
,,,,,,343,502,,,,,160,501,,,,,501,494,,,,,432,503,,,,,498,496,,,,
,,,,,,347,467,,,,,157,501,,,,,495,511,,,,,437,484,,,,,501,513,,,,
,,,,,,385,533,,,,,170,495,,,,,503,488,,,,,466,516,,,,,487,486,,,,
,,,,,,394,498,,,,,160,503,,,,,501,511,,,,,450,487,,,,,508,511,,,,
,,,,,,346,493,,,,,162,489,,,,,501,500,,,,,436,512,,,,,508,495,,,,
,,,,,,351,509,,,,,183,513,,,,,501,501,,,,,432,498,,,,,498,504,,,,
,,,,,,382,499,,,,,161,492,,,,,483,495,,,,,422,500,,,,,500,500,,,,
,,,,,,344,489,,,,,178,496,,,,,512,504,,,,,418,498,,,,,501,502,,,,
,,,,,,284,510,,,,,168,499,,,,,503,489,,,,,404,502,,,,,500,498,,,,
,,,,,,302,499,,,,,166,496,,,,,502,500,,,,,384,501,,,,,500,499,,,,
,,,,,,283,500,,,,,162,516,,,,,495,501,,,,,425,498,,,,,480,496,,,,
,,,,,,313,499,,,,,171,500,,,,,503,508,,,,,445,502,,,,,455,507,,,,
,,,,,,325,491,,,,,160,489,,,,,500,502,,,,,440,495,,,,,464,498,,,,
,,,,,,314,510,,,,,160,500,,,,,500,485,,,,,433,488,,,,,553,501,,,,
,,,,,,308,485,,,,,156,510,,,,,499,513,,,,,438,512,,,,,545,499,,,,
,,,,,,324,517,,,,,152,500,,,,,480,500,,,,,434,503,,,,,503,499,,,,
,,,,,,317,477,,,,,165,498,,,,,523,498,,,,,391,492,,,,,493,501,,,,
,,,,,,311,520,,,,,158,502,,,,,501,502,,,,,387,499,,,,,499,500,,,,
,,,,,,318,500,,,,,,,,,,,484,496,,,,,386,501,,,,,507,498,,,,
,,,,,,324,499,,,,,,,,,,,513,500,,,,,419,508,,,,,497,497,,,,
,,,,,,315,503,,,,,,,,,,,497,500,,,,,413,492,,,,,503,507,,,,
,,,,,,322,494,,,,,,,,,,,504,501,,,,,457,510,,,,,488,484,,,,
,,,,,,332,504,,,,,,,,,,,496,505,,,,,474,496,,,,,497,505,,,,
,,,,,,306,500,,,,,,,,,,,503,499,,,,,463,501,,,,,513,510,,,,
,,,,,,330,500,,,,,,,,,,,502,500,,,,,474,501,,,,,492,486,,,,
,,,,,,323,501,,,,,,,,,,,500,491,,,,,480,503,,,,,481,513,,,,
,,,,,,323,495,,,,,,,,,,,494,498,,,,,477,500,,,,,476,501,,,,
,,,,,,320,504,,,,,,,,,,,500,507,,,,,486,499,,,,,480,502,,,,
,,,,,,304,490,,,,,,,,,,,502,502,,,,,506,499,,,,,499,499,,,,
,,,,,,331,507,,,,,,,,,,,504,495,,,,,508,498,,,,,552,499,,,,
,,,,,,336,505,,,,,,,,,,,502,506,,,,,483,504,,,,,517,482,,,,
,,,,,,331,498,,,,,,,,,,,490,500,,,,,442,499,,,,,478,521,,,,
,,,,,,331,501,,,,,,,,,,,505,502,,,,,,,,,,,491,492,,,,
,,,,,,329,496,,,,,,,,,,,495,498,,,,,,,,,,,473,502,,,,
,,,,,,313,503,,,,,,,,,,,494,486,,,,,,,,,,,475,505,,,,
,,,,,,282,490,,,,,,,,,,,515,511,,,,,,,,,,,482,498,,,,
,,,,,,351,501,,,,,,,,,,,499,504,,,,,,,,,,,451,504,,,,
,,,,,,340,510,,,,,,,,,,,496,500,,,,,,,,,,,505,499,,,,
,,,,,,383,498,,,,,,,,,,,503,501,,,,,,,,,,,441,498,,,,
,,,,,,343,501,,,,,,,,,,,486,498,,,,,,,,,,,462,500,,,,
,,,,,,333,489,,,,,,,,,,,514,486,,,,,,,,,,,434,495,,,,
,,,,,,346,509,,,,,,,,,,,499,515,,,,,,,,,,,493,507,,,,
,,,,,,340,502,,,,,,,,,,,483,486,,,,,,,,,,,449,499,,,,
,,,,,,336,500,,,,,,,,,,,513,511,,,,,,,,,,,476,485,,,,
,,,,,,324,494,,,,,,,,,,,505,503,,,,,,,,,,,444,514,,,,
,,,,,,376,500,,,,,,,,,,,500,496,,,,,,,,,,,451,502,,,,
,,,,,,354,501,,,,,,,,,,,501,494,,,,,,,,,,,395,488,,,,
,,,,,,342,502,,,,,,,,,,,500,509,,,,,,,,,,,356,509,,,,
,,,,,,386,497,,,,,,,,,,,501,501,,,,,,,,,,,423,504,,,,
,,,,,,354,505,,,,,,,,,,,500,499,,,,,,,,,,,440,498,,,,
,,,,,,346,499,,,,,,,,,,,495,487,,,,,,,,,,,463,493,,,,
,,,,,,328,503,,,,,,,,,,,498,512,,,,,,,,,,,447,506,,,,
,,,,,,339,500,,,,,,,,,,,497,486,,,,,,,,,,,402,500,,,,
,,,,,,344,495,,,,,,,,,,,504,514,,,,,,,,,,,406,499,,,,
,,,,,,366,505,,,,,,,,,,,505,490,,,,,,,,,,,380,502,,,,
,,,,,,358,500,,,,,,,,,,,494,510,,,,,,,,,,,410,493,,,,
,,,,,,318,500,,,,,,,,,,,498,498,,,,,,,,,,,411,495,,,,
,,,,,,331,499,,,,,,,,,,,510,501,,,,,,,,,,,391,507,,,,
,,,,,,343,499,,,,,,,,,,,484,491,,,,,,,,,,,445,487,,,,
,,,,,,313,500,,,,,,,,,,,512,509,,,,,,,,,,,355,514,,,,
,,,,,,318,500,,,,,,,,,,,482,501,,,,,,,,,,,352,498,,,,
,,,,,,339,500,,,,,,,,,,,516,499,,,,,,,,,,,374,504,,,,
,,,,,,333,500,,,,,,,,,,,505,489,,,,,,,,,,,368,497,,,,
,,,,,,379,485,,,,,,,,,,,499,510,,,,,,,,,,,401,489,,,,
,,,,,,333,515,,,,,,,,,,,488,500,,,,,,,,,,,338,512,,,,
,,,,,,328,486,,,,,,,,,,,513,499,,,,,,,,,,,364,496,,,,
,,,,,,362,514,,,,,,,,,,,489,501,,,,,,,,,,,358,506,,,,
,,,,,,355,496,,,,,,,,,,,510,501,,,,,,,,,,,370,492,,,,
,,,,,,418,504,,,,,,,,,,,483,499,,,,,,,,,,,360,493,,,,
,,,,,,325,489,,,,,,,,,,,518,501,,,,,,,,,,,369,514,,,,
,,,,,,333,510,,,,,,,,,,,490,499,,,,,,,,,,,421,501,,,,
,,,,,,327,488,,,,,,,,,,,505,494,,,,,,,,,,,381,498,,,,
,,,,,,360,508,,,,,,,,,,,495,508,,,,,,,,,,,362,488,,,,
,,,,,,385,498,,,,,,,,,,,508,493,,,,,,,,,,,441,504,,,,
,,,,,,327,506,,,,,,,,,,,490,507,,,,,,,,,,,336,510,,,,
,,,,,,344,501,,,,,,,,,,,509,500,,,,,,,,,,,344,492,,,,
,,,,,,376,502,,,,,,,,,,,492,492,,,,,,,,,,,398,506,,,,
,,,,,,324,493,,,,,,,,,,,504,508,,,,,,,,,,,370,495,,,,
,,,,,,319,486,,,,,,,,,,,498,495,,,,,,,,,,,354,507,,,,
,,,,,,313,506,,,,,,,,,,,510,504,,,,,,,,,,,359,494,,,,
,,,,,,307,513,,,,,,,,,,,485,497,,,,,,,,,,,340,493,,,,
,,,,,,300,496,,,,,,,,,,,510,500,,,,,,,,,,,322,511,,,,
,,,,,,306,505,,,,,,,,,,,492,499,,,,,,,,,,,316,496,,,,
,,,,,,392,503,,,,,,,,,,,511,506,,,,,,,,,,,356,505,,,,
,,,,,,348,501,,,,,,,,,,,,,,,,,,,,,,,366,496,,,,
