Target UE Iperf3 Measured Throughput 1 (Kbps),Non-Target UE Iperf3 Measured Throughput 1 (Kbps),FB-AII Estimated Throughput 1 (Mbps),Tset 1 (Mbps),jammer_gain 1,Inteference Efficiency,Target UE Iperf3 Measured Throughput 2,Non-Target UE Iperf3 Measured Throughput 2,FB-AII Estimated Throughput 2,Tset 2,jammer_gain 2,Inteference Efficiency,Target UE Iperf3 Measured Throughput 3,Non-Target UE Iperf3 Measured Throughput 3,FB-AII Estimated Throughput 3,Tset 3,jammer_gain 3,Inteference Efficiency,Target UE Iperf3 Measured Throughput 1 (Kbps),Non-Target UE Iperf3 Measured Throughput 1 (Kbps),FB-AII Estimated Throughput 1 (Mbps),Tset 1 (Mbps),jammer_gain 1,Inteference Efficiency,Target UE Iperf3 Measured Throughput 2,Non-Target UE Iperf3 Measured Throughput 2,FB-AII Estimated Throughput 2,Tset 2,jammer_gain 2,Inteference Efficiency,Target UE Iperf3 Measured Throughput 3,Non-Target UE Iperf3 Measured Throughput 3,FB-AII Estimated Throughput 3,Tset 3,jammer_gain 3,Inteference Efficiency
140,506,,,,,130,507,,,,,127,498,,,,,313,506,,,,,471,496,,,,,494,505,,,,
136,500,,,,,139,499,,,,,139,468,,,,,305,488,,,,,375,505,,,,,505,497,,,,
130,503,,,,,128,499,,,,,132,531,,,,,317,513,,,,,468,501,,,,,504,501,,,,
141,493,,,,,134,499,,,,,123,491,,,,,311,490,,,,,392,497,,,,,498,484,,,,
152,507,,,,,134,501,,,,,126,507,,,,,296,509,,,,,458,493,,,,,499,519,,,,
129,493,,,,,136,496,,,,,121,498,,,,,305,477,,,,,363,507,,,,,498,493,,,,
122,494,,,,,147,501,,,,,141,507,,,,,397,524,,,,,481,499,,,,,495,497,,,,
127,511,,,,,141,503,,,,,134,499,,,,,363,488,,,,,390,505,,,,,501,485,,,,
133,499,,,,,126,496,,,,,118,499,,,,,318,510,,,,,481,498,,,,,505,525,,,,
137,499,,,,,125,506,,,,,120,494,,,,,303,492,,,,,364,503,,,,,502,492,,,,
134,502,,,,,129,495,,,,,129,495,,,,,323,510,,,,,416,491,,,,,497,501,,,,
123,488,,,,,138,503,,,,,117,505,,,,,304,499,,,,,395,506,,,,,501,508,,,,
140,502,,,,,134,501,,,,,147,497,,,,,330,494,,,,,424,494,,,,,495,497,,,,
136,504,,,,,138,499,,,,,125,499,,,,,328,494,,,,,410,500,,,,,498,502,,,,
141,501,,,,,119,501,,,,,118,513,,,,,327,512,,,,,384,501,,,,,494,500,,,,
126,497,,,,,136,499,,,,,109,497,,,,,320,493,,,,,472,500,,,,,514,498,,,,
135,498,,,,,108,492,,,,,117,492,,,,,309,505,,,,,396,498,,,,,494,500,,,,
126,507,,,,,137,508,,,,,134,499,,,,,317,489,,,,,459,506,,,,,507,490,,,,
122,492,,,,,113,501,,,,,96.2,509,,,,,318,502,,,,,408,501,,,,,493,510,,,,
121,502,,,,,145,482,,,,,124,499,,,,,315,502,,,,,391,503,,,,,503,501,,,,
143,494,,,,,112,514,,,,,124,496,,,,,317,507,,,,,416,497,,,,,492,501,,,,
133,502,,,,,134,503,,,,,139,500,,,,,328,495,,,,,369,500,,,,,508,496,,,,
114,499,,,,,124,499,,,,,125,500,,,,,316,490,,,,,465,501,,,,,496,502,,,,
128,500,,,,,128,497,,,,,124,507,,,,,332,507,,,,,405,496,,,,,508,496,,,,
117,504,,,,,122,505,,,,,133,488,,,,,305,501,,,,,439,497,,,,,492,502,,,,
128,509,,,,,128,501,,,,,114,506,,,,,336,506,,,,,395,500,,,,,499,496,,,,
129,489,,,,,140,493,,,,,112,494,,,,,309,497,,,,,386,500,,,,,509,506,,,,
106,510,,,,,119,491,,,,,110,508,,,,,,,,,,,446,506,,,,,499,495,,,,
128,500,,,,,126,516,,,,,136,491,,,,,,,,,,,381,496,,,,,501,506,,,,
118,500,,,,,128,489,,,,,114,500,,,,,,,,,,,484,505,,,,,497,498,,,,
129,502,,,,,129,511,,,,,119,513,,,,,,,,,,,389,492,,,,,490,501,,,,
131,485,,,,,128,500,,,,,124,499,,,,,,,,,,,421,498,,,,,513,501,,,,
131,501,,,,,130,500,,,,,133,494,,,,,,,,,,,417,502,,,,,489,483,,,,
139,502,,,,,151,499,,,,,127,504,,,,,,,,,,,385,507,,,,,479,510,,,,
131,496,,,,,126,501,,,,,117,502,,,,,,,,,,,479,495,,,,,533,509,,,,
131,502,,,,,118,500,,,,,122,499,,,,,,,,,,,367,493,,,,,493,492,,,,
132,508,,,,,128,494,,,,,130,498,,,,,,,,,,,412,513,,,,,493,504,,,,
120,493,,,,,133,502,,,,,119,493,,,,,,,,,,,380,503,,,,,509,496,,,,
124,509,,,,,131,496,,,,,121,510,,,,,,,,,,,440,498,,,,,498,497,,,,
144,481,,,,,130,501,,,,,121,494,,,,,,,,,,,393,497,,,,,497,506,,,,
114,508,,,,,132,506,,,,,134,506,,,,,,,,,,,373,500,,,,,504,498,,,,
112,513,,,,,125,489,,,,,128,487,,,,,,,,,,,460,497,,,,,504,490,,,,
125,499,,,,,126,510,,,,,122,514,,,,,,,,,,,352,506,,,,,499,509,,,,
113,496,,,,,130,500,,,,,128,493,,,,,,,,,,,474,494,,,,,502,493,,,,
128,498,,,,,130,502,,,,,131,506,,,,,,,,,,,376,507,,,,,494,512,,,,
122,498,,,,,112,501,,,,,130,483,,,,,,,,,,,447,495,,,,,484,496,,,,
125,506,,,,,138,495,,,,,129,507,,,,,,,,,,,407,493,,,,,441,502,,,,
122,489,,,,,126,501,,,,,123,505,,,,,,,,,,,398,498,,,,,454,496,,,,
130,515,,,,,117,501,,,,,120,500,,,,,,,,,,,444,512,,,,,457,504,,,,
128,498,,,,,151,499,,,,,124,494,,,,,,,,,,,317,501,,,,,466,499,,,,
124,490,,,,,108,484,,,,,118,508,,,,,,,,,,,464,499,,,,,455,504,,,,
126,500,,,,,138,512,,,,,121,500,,,,,,,,,,,311,502,,,,,475,495,,,,
128,511,,,,,132,498,,,,,113,503,,,,,,,,,,,455,486,,,,,457,503,,,,
132,499,,,,,132,510,,,,,121,491,,,,,,,,,,,317,514,,,,,478,502,,,,
119,503,,,,,131,492,,,,,122,507,,,,,,,,,,,459,497,,,,,472,501,,,,
133,488,,,,,129,507,,,,,123,488,,,,,,,,,,,326,504,,,,,467,499,,,,
120,512,,,,,142,501,,,,,122,513,,,,,,,,,,,461,499,,,,,466,499,,,,
126,500,,,,,127,500,,,,,126,501,,,,,,,,,,,324,496,,,,,452,498,,,,
118,497,,,,,140,499,,,,,128,497,,,,,,,,,,,451,499,,,,,457,506,,,,
